1,,8.4X11X13,440,ferrule_sp_1.jpg,335,PP001,S-YARD,J2F84C 원링,원링
2,,8.4X16X14.2,660,ferrule_sp_2.jpg,335,PP003,Titleist,F84C-21 무링,무링
3,,8.4X507X12.5,440,ferrule_sp_3.jpg,335,PP006,Callaway,MF84C 무링,무링
4,,9.3X507X13.6,440,ferrule_sp_4.jpg,370,PP006-01,Callaway,MF93C 무링,무링
5,,BB9002,"6,600",ferrule_sp_6.jpg,335,PP006-02,Callaway,우드용 VFT335,
6,,CSS,"6,600",ferrule_sp_6.jpg,370,PP006-03,Callaway,아이언용 VFT350,
7,,BTSPS,660,ferrule_sp_7.jpg,,PP006-04,Callaway,켈러웨이 스틸용 핀,
8,,BTSPG,660,ferrule_sp_8.jpg,,PP006-05,Callaway,켈어웨이 카본용 핀,
9,,G2 G5,"13,200",ferrule_sp_9.jpg,,PP007,PING,핑 335 우드용,
10,,i3,"13,200",ferrule_sp_10.jpg,,PP007-01,PING,핑 우드용,
11,,,660,ferrule_sp_11.jpg,,PP008,PRGR,PRGR lron,
